,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample_freq,state,params_n_estimators
664,664,0.18598399117870182,2023-06-29 13:49:13.787782,2023-06-29 13:49:17.719311,0 days 00:00:03.931529,goss,0.5042016213062587,0.028347786331573928,39,8,7,41,0.00029325433790749475,0.00020068940428125758,6,COMPLETE,386
869,869,0.18600196787067852,2023-06-29 14:07:05.240431,2023-06-29 14:07:06.869069,0 days 00:00:01.628638,goss,0.48482157629448625,0.07139843839074389,39,5,14,58,5.666976394513196e-05,2.2591944149040807e-05,3,COMPLETE,143
266,266,0.18614187561853857,2023-06-29 13:25:06.503659,2023-06-29 13:25:08.262433,0 days 00:00:01.758774,goss,0.49012660319142654,0.06627363181218092,44,5,12,63,0.0001238671958741916,1.340629783453554e-07,3,COMPLETE,167
800,800,0.1862420964171998,2023-06-29 14:02:00.548132,2023-06-29 14:02:02.113275,0 days 00:00:01.565143,goss,0.5245984002026154,0.06982854711047626,32,5,9,38,5.994021485283986e-07,0.018207826592263904,5,COMPLETE,159
65,65,0.18624815036615744,2023-06-29 13:17:23.446404,2023-06-29 13:17:25.403968,0 days 00:00:01.957564,goss,0.5760403535804475,0.05951425881116356,41,5,10,56,6.787123565276985e-05,2.2514382104401713e-08,6,COMPLETE,229
820,820,0.18628437779456425,2023-06-29 14:03:07.462854,2023-06-29 14:03:09.983004,0 days 00:00:02.520150,goss,0.5713876801950055,0.03322411051939758,46,5,9,57,3.817211189505646e-06,5.0706086869761904e-08,5,COMPLETE,313
344,344,0.18629637580203978,2023-06-29 13:28:52.454453,2023-06-29 13:28:54.461353,0 days 00:00:02.006900,goss,0.5955017083142466,0.04781477966383488,42,5,11,75,3.6780404961476364e-05,2.4680256439124835e-06,3,COMPLETE,222
944,944,0.18633977071696975,2023-06-29 14:13:17.183169,2023-06-29 14:13:20.671370,0 days 00:00:03.488201,goss,0.5911031001682906,0.02113287193717717,41,5,11,51,0.0005498377361714977,1.001073865423709e-08,3,COMPLETE,439
332,332,0.18641465168015256,2023-06-29 13:28:09.347147,2023-06-29 13:28:10.711099,0 days 00:00:01.363952,goss,0.6332392992263528,0.09227417203750499,32,5,12,31,0.00485284293787079,1.618451208745038e-07,3,COMPLETE,129
383,383,0.18644044497268827,2023-06-29 13:30:30.464945,2023-06-29 13:30:32.255615,0 days 00:00:01.790670,goss,0.49071350306642353,0.04000728321789737,41,5,9,51,1.8002290597789824e-05,6.946903929545451e-08,3,COMPLETE,238
