,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_subsample,state,params_n_estimators
177,177,0.23185914493188303,2023-07-12 21:48:34.501653,2023-07-12 21:48:38.821344,0 days 00:00:04.319691,,,MVS,0.4303148663173627,10,Depthwise,15.987842621980555,0.06223240155193683,,26,49.73042431750048,0.33731480786057855,COMPLETE,1644
309,309,0.2318737148120576,2023-07-12 22:15:47.701967,2023-07-12 22:15:57.245757,0 days 00:00:09.543790,,,MVS,0.34302433212478034,10,Depthwise,12.141767311891881,0.017110168838637137,,32,36.79842782147276,0.36755481409975316,COMPLETE,1046
508,508,0.23194256391932686,2023-07-12 23:11:08.852477,2023-07-12 23:11:38.440742,0 days 00:00:29.588265,,,MVS,0.7780637528879533,10,Depthwise,23.4495058346621,0.007624145088053902,,27,55.942705092620585,0.3805375098416794,COMPLETE,664
49,49,0.23197513477828935,2023-07-12 20:51:39.125837,2023-07-12 20:51:48.277135,0 days 00:00:09.151298,,,MVS,0.4762148711909555,8,Depthwise,47.9329693901791,0.02747192979413079,,28,28.432057405229344,0.3870921619811879,COMPLETE,1437
191,191,0.23198545890506084,2023-07-12 21:49:57.266088,2023-07-12 21:50:03.490385,0 days 00:00:06.224297,,,MVS,0.422122691565975,10,Depthwise,35.10510893142523,0.04326923032008539,,32,47.53731300773494,0.36888364323892514,COMPLETE,505
975,975,0.2320187222260917,2023-07-13 03:17:50.059073,2023-07-13 03:18:04.612052,0 days 00:00:14.552979,,,MVS,0.48590469116921964,9,Depthwise,16.911986176226744,0.012678892877850966,,36,54.900692907261984,0.46794746365882817,COMPLETE,3301
391,391,0.23207315617078356,2023-07-12 22:38:10.314840,2023-07-12 22:38:17.062943,0 days 00:00:06.748103,,,MVS,0.48557221654293187,8,Depthwise,56.535877651031456,0.043756426627024766,,28,82.56608298742756,0.33605607819082217,COMPLETE,3048
173,173,0.23208485372525067,2023-07-12 21:48:14.968537,2023-07-12 21:48:21.023501,0 days 00:00:06.054964,,,MVS,0.4072392705005123,10,Depthwise,23.38602960820274,0.04622861815427006,,25,54.202708667016196,0.35119868613065996,COMPLETE,1980
146,146,0.23211219600926497,2023-07-12 21:28:51.906906,2023-07-12 21:29:05.990294,0 days 00:00:14.083388,,,MVS,0.36789354559241827,9,Depthwise,58.40659550199058,0.025863233703454343,,19,47.630083228885525,0.33447210953499446,COMPLETE,2188
214,214,0.23211523136727513,2023-07-12 21:53:48.793292,2023-07-12 21:53:58.475401,0 days 00:00:09.682109,,,MVS,0.3873599769370749,10,Depthwise,25.108829819113783,0.01968205807316698,,37,49.20488538216453,0.33978449368743874,COMPLETE,1998
