,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state
223,223,0.1929692695768407,2023-06-22 19:50:04.343197,2023-06-22 19:50:07.502996,0 days 00:00:03.159799,goss,0.5078713824101533,0.04440867084743341,76,9,16,73,1.258543365249719e-06,2.2946680378072528e-08,,2,COMPLETE
144,144,0.192990691689485,2023-06-22 19:45:39.002010,2023-06-22 19:45:42.159729,0 days 00:00:03.157719,goss,0.5210617236511691,0.04511265117942547,74,9,15,79,1.0736958288517504e-06,3.407614228655063e-08,,2,COMPLETE
281,281,0.19303454533402983,2023-06-22 19:53:27.238855,2023-06-22 19:53:29.688838,0 days 00:00:02.449983,goss,0.5268761346619992,0.06090879131633137,61,9,17,67,6.9311414925042715e-06,2.14442715704377e-05,,2,COMPLETE
806,806,0.19315889873707465,2023-06-22 20:41:31.399695,2023-06-22 20:41:34.269871,0 days 00:00:02.870176,goss,0.6744206080265548,0.09733183103723166,32,4,14,92,0.0006804387297690643,0.029374725728170605,,1,COMPLETE
683,683,0.19317800837275945,2023-06-22 20:27:48.034364,2023-06-22 20:27:49.343065,0 days 00:00:01.308701,goss,0.6300561034548294,0.21651830308550482,56,4,11,50,2.236751681682095e-08,0.00013259192317752292,,1,COMPLETE
396,396,0.19322280425480134,2023-06-22 20:01:36.841591,2023-06-22 20:01:40.614785,0 days 00:00:03.773194,goss,0.6561458043594615,0.04410147388070542,32,9,16,68,7.891889522842246e-07,3.030021148717731e-08,,2,COMPLETE
104,104,0.1933176839801832,2023-06-22 19:43:44.693974,2023-06-22 19:43:47.451724,0 days 00:00:02.757750,goss,0.548727049463092,0.05576602790242572,89,9,14,70,2.0942072362720366e-05,2.7107147701213423e-08,,2,COMPLETE
174,174,0.1933333804907083,2023-06-22 19:47:30.699653,2023-06-22 19:47:33.074623,0 days 00:00:02.374970,goss,0.5198039084848938,0.07223687196789227,46,9,13,84,2.9322738514735642e-06,7.076006591336306e-08,,2,COMPLETE
301,301,0.1933479812039032,2023-06-22 19:54:12.764101,2023-06-22 19:54:16.321225,0 days 00:00:03.557124,goss,0.5454197361465104,0.03334983437489768,82,9,14,71,3.8508916163010976e-07,1.5508422076779653e-06,,2,COMPLETE
879,879,0.19340706484059578,2023-06-22 20:50:11.723972,2023-06-22 20:50:16.158816,0 days 00:00:04.434844,goss,0.5525383553300776,0.0235123353131191,32,4,14,86,3.2780202537321997e-06,1.3140374525598032e-06,,1,COMPLETE
645,645,0.19358300161077252,2023-06-22 20:23:09.832148,2023-06-22 20:23:11.427761,0 days 00:00:01.595613,goss,0.47640788999109573,0.13812711258568966,74,4,11,73,0.004935162873810666,4.7715472378734595e-08,,1,COMPLETE
467,467,0.19358396592450022,2023-06-22 20:05:54.990924,2023-06-22 20:05:56.798708,0 days 00:00:01.807784,goss,0.4514558844948555,0.09166921045927144,48,4,11,75,5.4943247343084575e-08,0.0007976259585526814,,1,COMPLETE
364,364,0.19370381829586347,2023-06-22 19:58:56.041923,2023-06-22 19:59:00.292162,0 days 00:00:04.250239,goss,0.5479731742773339,0.04072461402887353,42,9,15,86,3.1645281843968736e-05,1.0175619882919793e-08,,2,COMPLETE
220,220,0.19372190257856273,2023-06-22 19:49:55.717519,2023-06-22 19:49:58.520673,0 days 00:00:02.803154,goss,0.517943160650272,0.05179632214384649,77,9,14,69,2.895845201161034e-07,3.4972575677413096e-08,,2,COMPLETE
809,809,0.19376944758201198,2023-06-22 20:41:36.868527,2023-06-22 20:41:39.563384,0 days 00:00:02.694857,goss,0.6357337737495203,0.07940864225606677,43,4,17,48,0.00011961188177021251,0.00021311854037874087,,1,COMPLETE
236,236,0.1937956470173824,2023-06-22 19:50:45.378875,2023-06-22 19:50:48.312483,0 days 00:00:02.933608,goss,0.5066857331426776,0.049242766122265504,74,9,17,72,9.9412425903703e-07,1.541265290559014e-08,,2,COMPLETE
753,753,0.19382127208408195,2023-06-22 20:34:11.139880,2023-06-22 20:34:13.280436,0 days 00:00:02.140556,goss,0.5625398916321431,0.07562317486293868,43,4,7,94,2.326525034198349e-07,1.2393902960487338e-07,,1,COMPLETE
75,75,0.1938396260392175,2023-06-22 19:42:30.602160,2023-06-22 19:42:33.964318,0 days 00:00:03.362158,goss,0.617740100655136,0.03990852017288974,54,7,19,76,0.00040690647680449374,2.4437301350681787e-06,,4,COMPLETE
