,number,value,datetime_start,datetime_complete,duration,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,state
55,55,0.2795608800322139,2023-06-11 15:13:58.666281,2023-06-11 15:14:00.504220,0 days 00:00:01.837939,6,0.6357820933498445,0.00010203385059297465,9.174414669749303e-08,0.20579851881174552,119,6,33,33,COMPLETE
469,469,0.2796438353803065,2023-06-11 15:17:09.226583,2023-06-11 15:17:11.538032,0 days 00:00:02.311449,5,0.6860975482933674,3.927597919232245e-06,4.183328771308244e-07,0.1494872732946081,126,6,11,36,COMPLETE
185,185,0.2803658934067294,2023-06-11 15:15:28.496717,2023-06-11 15:15:30.596587,0 days 00:00:02.099870,1,0.5879447963348956,6.442082685423258e-06,1.0206046588963148e-08,0.1862350572307634,122,4,20,57,COMPLETE
928,928,0.2806919701306837,2023-06-11 15:18:32.367399,2023-06-11 15:18:34.451037,0 days 00:00:02.083638,7,0.6069510603231284,0.12245579844296256,9.223692910752408e-06,0.20123835834244932,224,4,24,40,COMPLETE
766,766,0.2808018415575119,2023-06-11 15:18:01.486799,2023-06-11 15:18:04.083333,0 days 00:00:02.596534,6,0.645398656692034,9.589384976093085e-08,1.6471850778071876e-07,0.20327839040441867,184,7,13,39,COMPLETE
288,288,0.28090279183597855,2023-06-11 15:16:14.047034,2023-06-11 15:16:16.254353,0 days 00:00:02.207319,5,0.6238100676109128,0.01116575342569506,2.194504785088146e-07,0.2018575390417866,158,4,24,40,COMPLETE
618,618,0.281545477856098,2023-06-11 15:17:36.586519,2023-06-11 15:17:36.711350,0 days 00:00:00.124831,6,0.5129727212263807,6.122465657421121e-07,1.764557127452937e-05,0.16409045435137354,86,7,19,58,PRUNED
479,479,0.28171212143262453,2023-06-11 15:17:12.441932,2023-06-11 15:17:14.243616,0 days 00:00:01.801684,6,0.6530382638106128,4.562687671303457e-05,3.105377940802784e-08,0.2555246648246458,77,4,23,59,COMPLETE
655,655,0.28218970197307053,2023-06-11 15:17:40.835066,2023-06-11 15:17:43.376914,0 days 00:00:02.541848,6,0.49577460658812994,0.00023229551032126548,1.2329045817727705e-06,0.17703089231443442,159,6,12,51,COMPLETE
53,53,0.2831909648207968,2023-06-11 15:13:55.602530,2023-06-11 15:13:55.788692,0 days 00:00:00.186162,6,0.6629131010968902,0.0001731353580231421,4.345916252186057e-07,0.053386345275401176,166,6,18,45,PRUNED
670,670,0.28347704417066144,2023-06-11 15:17:45.019266,2023-06-11 15:17:45.149903,0 days 00:00:00.130637,6,0.629725750721337,0.043923838042439586,1.6736995394882355e-07,0.16642163705349344,62,5,15,62,PRUNED
983,983,0.2834793783542286,2023-06-11 15:18:43.818337,2023-06-11 15:18:43.967435,0 days 00:00:00.149098,5,0.45644563831344037,0.0024740274681769106,2.8095750015334566,0.1809805208647977,173,6,19,30,PRUNED
372,372,0.2838453826305083,2023-06-11 15:16:43.478905,2023-06-11 15:16:43.591987,0 days 00:00:00.113082,6,0.5754099116207696,0.002437908103825219,4.266300950102184e-06,0.1578123246752355,155,6,19,33,PRUNED
104,104,0.2839876477583462,2023-06-11 15:14:25.816553,2023-06-11 15:14:27.388687,0 days 00:00:01.572134,7,0.6499353657226273,5.403401992005988e-05,4.4360481470097045e-07,0.24458114566000946,194,4,16,62,COMPLETE
993,993,0.2858610419136445,2023-06-11 15:18:45.251865,2023-06-11 15:18:45.397155,0 days 00:00:00.145290,5,0.46697427903464667,0.0001271386856614561,2.679549543633296e-07,0.2034468262849293,75,10,18,49,PRUNED
15,15,0.2862630673553093,2023-06-11 15:12:54.407347,2023-06-11 15:13:03.869215,0 days 00:00:09.461868,6,0.6996734557558352,5.3941977260384775e-05,4.33414154384045e-05,0.05105068840360852,138,5,44,53,COMPLETE
364,364,0.2863768311545001,2023-06-11 15:16:38.311453,2023-06-11 15:16:38.407577,0 days 00:00:00.096124,4,0.6304337776815064,6.473454192791392e-07,0.00026642063098666804,0.18093099763112333,167,4,18,54,PRUNED
74,74,0.28684691941719825,2023-06-11 15:14:11.404806,2023-06-11 15:14:13.529856,0 days 00:00:02.125050,7,0.6031711099984001,0.002359721535175688,3.7005014368878474e-07,0.10581402071277805,181,8,10,55,COMPLETE
281,281,0.2876534753407247,2023-06-11 15:16:11.064294,2023-06-11 15:16:11.179113,0 days 00:00:00.114819,5,0.6440006119909113,2.109023496962176e-05,9.850309528648002e-06,0.237603602388937,194,5,26,55,PRUNED
612,612,0.2879316943498995,2023-06-11 15:17:35.903922,2023-06-11 15:17:36.025515,0 days 00:00:00.121593,7,0.6693445597166238,0.00022030038194119383,3.17546787699354e-08,0.13999588537394286,94,9,21,40,PRUNED
83,83,0.2882280458941041,2023-06-11 15:14:16.833658,2023-06-11 15:14:17.032935,0 days 00:00:00.199277,4,0.673861733912348,0.06252529030611016,4.0032289010703426e-08,0.10520099631408707,230,5,18,29,PRUNED
489,489,0.288606269414582,2023-06-11 15:17:15.136033,2023-06-11 15:17:17.592102,0 days 00:00:02.456069,3,0.6253087970462823,0.051046082821839735,5.534141626942397e-05,0.16658871880013384,155,7,12,63,COMPLETE
117,117,0.2899153437451438,2023-06-11 15:14:47.322599,2023-06-11 15:14:49.064322,0 days 00:00:01.741723,5,0.605586086590897,2.5797966326883177e-05,2.539254558792671e-07,0.2982624081694572,113,4,17,62,COMPLETE
630,630,0.2901037126891801,2023-06-11 15:17:37.936847,2023-06-11 15:17:38.065131,0 days 00:00:00.128284,6,0.6952013799967305,0.00011625077000451121,8.789341342603376e-07,0.2393906599674784,149,6,24,59,PRUNED
